live_rebalance_date,signal_cutoff_date,sector,s21,z_score,z_star,b63,a21,confidence,standard_multiplier,confidence_multiplier,raw_tilt,confidence_adjusted_tilt,direction_window_observation_count,breadth_observed_ticker_days,breadth_possible_ticker_days,disagreement_observation_count,direction_window_start,direction_window_end,breadth_window_start,breadth_window_end
2021-01-04,2020-12-31,Comm,0.09542108408346503,-0.9735042446184905,-0.9735042446184905,0.6730158730158731,0.9011777832176718,0.6065069525147506,0.902649575538151,0.9409562907336265,-0.09735042446184905,-0.0590437092663735,21,212,315,21,2020-12-02,2020-12-31,2020-10-02,2020-12-31
2021-01-04,2020-12-31,Consumer,0.16476102740798607,0.6389687627844215,0.6389687627844215,0.9079365079365079,0.842861890816971,0.765265081821123,1.0638968762784422,1.048898048253336,0.06389687627844215,0.048898048253336206,21,286,315,21,2020-12-02,2020-12-31,2020-10-02,2020-12-31
2021-01-04,2020-12-31,Energy,0.08924642403628119,-1.1170935263312745,-1.1170935263312745,0.7142857142857143,0.8763099463682328,0.6259356759773091,0.8882906473668726,0.9300771308465958,-0.11170935263312745,-0.06992286915340423,21,225,315,21,2020-12-02,2020-12-31,2020-10-02,2020-12-31
2021-01-04,2020-12-31,Financials,0.11919615253411306,-0.4206244139211191,-0.4206244139211191,0.8380952380952381,0.8129410709452839,0.6813220404112855,0.9579375586078881,0.9713419316060462,-0.04206244139211191,-0.028658068393953802,21,264,315,21,2020-12-02,2020-12-31,2020-10-02,2020-12-31
2021-01-04,2020-12-31,Healthcare,0.17470431657848323,0.8701960269486025,0.8701960269486025,0.7396825396825397,0.82513340809902,0.6103367748795926,1.0870196026948602,1.0531112636600846,0.08701960269486025,0.053111263660084514,21,233,315,21,2020-12-02,2020-12-31,2020-10-02,2020-12-31
2021-01-04,2020-12-31,Industrials,0.12517398578320216,-0.28161226169308146,-0.28161226169308146,0.819047619047619,0.8547863959323112,0.7001107623826549,0.9718387738306918,0.9802840224769753,-0.02816122616930815,-0.0197159775230247,21,258,315,21,2020-12-02,2020-12-31,2020-10-02,2020-12-31
2021-01-04,2020-12-31,Materials,0.11424044117647059,-0.5358675250854837,-0.5358675250854837,0.3142857142857143,0.9427096494377982,0.2962801755375937,0.9464132474914516,0.9841233075602777,-0.05358675250854838,-0.015876692439722305,17,99,315,17,2020-12-02,2020-12-31,2020-10-02,2020-12-31
2021-01-04,2020-12-31,RealEstate,0.09733149999999999,-0.9290782766896106,-0.9290782766896106,0.29523809523809524,0.9584742957364324,0.2829781254078991,0.9070921723310389,0.9737091170905172,-0.09290782766896107,-0.02629088290948274,20,93,315,20,2020-12-02,2020-12-31,2020-10-02,2020-12-31
2021-01-04,2020-12-31,Tech,0.15970591458805744,0.5214141098571416,0.5214141098571416,0.6825396825396826,0.8530475214802768,0.5822387845024112,1.0521414109857141,1.030358751754563,0.05214141098571417,0.030358751754562888,21,215,315,21,2020-12-02,2020-12-31,2020-10-02,2020-12-31
2021-01-04,2020-12-31,Utilities,0.23305857843137257,2.2272013487488915,2.0,0.40634920634920635,0.909500403120986,0.3695747669824959,1.2,1.0739149533964991,0.2,0.07391495339649919,17,128,315,17,2020-12-02,2020-12-31,2020-10-02,2020-12-31
2021-02-01,2021-01-29,Comm,0.06286546957671957,-1.3312127600493553,-1.3312127600493553,0.7015873015873015,0.8890493093060471,0.6237457058940837,0.8668787239950645,0.9169661757287804,-0.13312127600493553,-0.08303382427121966,21,221,315,21,2020-12-30,2021-01-29,2020-10-29,2021-01-29
2021-02-01,2021-01-29,Consumer,0.1170818405053941,0.14974663096211435,0.14974663096211435,0.9174603174603174,0.8716542121004491,0.799708150149301,1.0149746630962115,1.0119753601237802,0.014974663096211436,0.01197536012378025,21,289,315,21,2020-12-30,2021-01-29,2020-10-29,2021-01-29
2021-02-01,2021-01-29,Energy,0.06620768598465027,-1.239917701170751,-1.239917701170751,0.7365079365079366,0.8761008469505646,0.6452552269604158,0.8760082298829249,0.919993662231883,-0.1239917701170751,-0.080006337768117,21,232,315,21,2020-12-30,2021-01-29,2020-10-29,2021-01-29
2021-02-01,2021-01-29,Financials,0.13018803898239137,0.5077519231367645,0.5077519231367645,0.8285714285714286,0.868541127968368,0.7196483631737907,1.0507751923136766,1.0365402840383717,0.05077519231367646,0.0365402840383717,21,261,315,21,2020-12-30,2021-01-29,2020-10-29,2021-01-29
2021-02-01,2021-01-29,Healthcare,0.13273380234315948,0.5772912908930903,0.5772912908930903,0.7301587301587301,0.8564105239889542,0.6253156206903475,1.057729129089309,1.0360989261883944,0.05772912908930903,0.03609892618839447,21,230,315,21,2020-12-30,2021-01-29,2020-10-29,2021-01-29
2021-02-01,2021-01-29,Industrials,0.11367086889340831,0.05657347394853461,0.05657347394853461,0.834920634920635,0.8342612702980342,0.6965419494869302,1.0056573473948534,1.003940579783336,0.005657347394853462,0.003940579783336035,21,263,315,21,2020-12-30,2021-01-29,2020-10-29,2021-01-29
2021-02-01,2021-01-29,Materials,0.07384490079365079,-1.0313016540465194,-1.0313016540465194,0.37777777777777777,0.9411428429108939,0.3555428517663377,0.8968698345953481,0.963332806888896,-0.10313016540465195,-0.03666719311110406,21,119,315,21,2020-12-30,2021-01-29,2020-10-29,2021-01-29
2021-02-01,2021-01-29,RealEstate,0.09995540935672516,-0.3180742247993337,-0.3180742247993337,0.3619047619047619,0.9385102725049265,0.3396513367160686,0.9681925775200666,0.9891965664371979,-0.03180742247993337,-0.0108034335628021,19,114,315,19,2020-12-30,2021-01-29,2020-10-29,2021-01-29
2021-02-01,2021-01-29,Tech,0.128523119479583,0.4622734425463545,0.4622734425463545,0.7015873015873015,0.8563380250089611,0.6007958842126361,1.0462273442546355,1.0277731981662657,0.046227344254635455,0.027773198166265632,21,221,315,21,2020-12-30,2021-01-29,2020-10-29,2021-01-29
2021-02-01,2021-01-29,Utilities,0.19092659722222222,2.1668695785791017,2.0,0.40634920634920635,0.887233995408841,0.3605268298804179,1.2,1.0721053659760835,0.2,0.07210536597608358,20,128,315,20,2020-12-30,2021-01-29,2020-10-29,2021-01-29
2021-03-01,2021-02-26,Comm,0.10930800908747337,-0.07084224322776528,-0.07084224322776528,0.6761904761904762,0.8283909877531298,0.5601500964806878,0.9929157756772234,0.9960317710621059,-0.007084224322776528,-0.003968228937894108,21,213,315,21,2021-01-28,2021-02-26,2020-11-25,2021-02-26
2021-03-01,2021-02-26,Consumer,0.09820319907407409,-0.3437618802347502,-0.3437618802347502,0.9333333333333333,0.8591196120992142,0.8018449712925999,0.965623811976525,0.9724356265011677,-0.03437618802347502,-0.027564373498832347,21,294,315,21,2021-01-28,2021-02-26,2020-11-25,2021-02-26
2021-03-01,2021-02-26,Energy,0.06389937050644287,-1.186836946744771,-1.186836946744771,0.746031746031746,0.868683975912982,0.6480658233001612,0.8813163053255229,0.9230851536984801,-0.1186836946744771,-0.07691484630151996,21,235,315,21,2021-01-28,2021-02-26,2020-11-25,2021-02-26
2021-03-01,2021-02-26,Financials,0.09249353401360545,-0.4840866326487322,-0.4840866326487322,0.8063492063492064,0.8938862776129299,0.7207844905196324,0.9515913367351267,0.9651077863118919,-0.048408663264873225,-0.0348922136881081,21,254,315,21,2021-01-28,2021-02-26,2020-11-25,2021-02-26
2021-03-01,2021-02-26,Healthcare,0.12737951924001925,0.37329592618258284,0.37329592618258284,0.7301587301587301,0.7999668693854017,0.5841027935194997,1.0373295926182582,1.0218043193292696,0.03732959261825829,0.02180431932926956,21,230,315,21,2021-01-28,2021-02-26,2020-11-25,2021-02-26
2021-03-01,2021-02-26,Industrials,0.06993744642130356,-1.0384409377256165,-1.0384409377256165,0.8126984126984127,0.8495457374144878,0.6904244723114568,0.8961559062274383,0.9283034963544177,-0.10384409377256165,-0.07169650364558232,21,256,315,21,2021-01-28,2021-02-26,2020-11-25,2021-02-26
2021-03-01,2021-02-26,Materials,0.0856581712962963,-0.6520773240129372,-0.6520773240129372,0.4,0.9114904846092531,0.36459619384370123,0.9347922675987063,0.9762255089573098,-0.06520773240129372,-0.023774491042690284,18,126,315,18,2021-01-28,2021-02-26,2020-11-25,2021-02-26
2021-03-01,2021-02-26,RealEstate,0.12202245614035089,0.24163696805354978,0.24163696805354978,0.4222222222222222,0.9078578365844012,0.38331775322452494,1.024163696805355,1.0092623739690274,0.02416369680535498,0.009262373969027302,19,133,315,19,2021-01-28,2021-02-26,2020-11-25,2021-02-26
2021-03-01,2021-02-26,Tech,0.14084057651343365,0.7041243564175554,0.7041243564175554,0.7015873015873015,0.8473329106487187,0.5944780103281486,1.0704124356417555,1.0418586446426696,0.07041243564175555,0.041858644642669654,21,221,315,21,2021-01-28,2021-02-26,2020-11-25,2021-02-26
2021-03-01,2021-02-26,Utilities,0.21216276455026456,2.4569887139408877,2.0,0.42857142857142855,0.8637005126174555,0.37015736255033804,1.2,1.0740314725100677,0.2,0.07403147251006761,21,135,315,21,2021-01-28,2021-02-26,2020-11-25,2021-02-26
2021-04-01,2021-03-31,Comm,0.10137126483371126,-0.7701187090238929,-0.7701187090238929,0.746031746031746,0.8570216536225306,0.6393653606390307,0.9229881290976107,0.9507612773870074,-0.0770118709023893,-0.04923872261299261,21,235,315,21,2021-03-03,2021-03-31,2020-12-30,2021-03-31
2021-04-01,2021-03-31,Consumer,0.12366147026386312,-0.07122724381637598,-0.07122724381637598,0.9238095238095239,0.8803669646805479,0.8132913864191729,0.9928772756183624,0.9942071496125763,-0.007122724381637598,-0.005792850387423687,21,291,315,21,2021-03-03,2021-03-31,2020-12-30,2021-03-31
2021-04-01,2021-03-31,Energy,0.11384716312787743,-0.37894695127978517,-0.37894695127978517,0.7301587301587301,0.8937300453221221,0.652564794997105,0.9621053048720215,0.9752712560423329,-0.03789469512797852,-0.024728743957667096,21,230,315,21,2021-03-03,2021-03-31,2020-12-30,2021-03-31
